name,final_adoption
0_11_8_3_1,0.6761630612503873
0_11_8_3_2,0.7920006404701913
0_11_8_3_3,0.846723928395148
0_11_9_0_0,0.9894401489538784
0_11_9_0_1,0.799457054769861
0_11_9_0_2,0.8666666588702949
0_11_9_0_3,0.9552476171160207
0_11_9_1_0,0.8787666301591989
0_11_9_1_1,0.8679252330585645
0_11_9_1_2,0.8927148485119943
0_11_9_1_3,0.8046498051716062
0_11_9_2_0,0.8693525618641657
0_11_9_2_1,0.8838414025551221
0_11_9_2_2,0.9133051214851295
0_11_9_2_3,0.8561087393509271
0_11_9_3_0,0.8522693323782715
0_11_9_3_1,0.8560627496554197
0_11_9_3_2,0.8639180216705281
0_11_9_3_3,0.9122704679284339
0_12_0_0_0,4.482011805173293e-36
0_12_0_0_1,4.71270845589962e-19
0_12_0_0_2,1.5563417553390905e-26
0_12_0_0_3,1.7147381504930997e-29
0_12_0_1_0,1.772707236859029e-17
0_12_0_1_1,2.093416538184236e-18
0_12_0_1_2,2.9479957196398237e-19
0_12_0_1_3,5.661795341032032e-15
0_12_0_2_0,3.181684550174672e-17
0_12_0_2_1,1.114190433798108e-16
0_12_0_2_2,5.870036222344603e-17
0_12_0_2_3,6.365450869457617e-13
0_12_0_3_0,8.477134611989523e-15
0_12_0_3_1,2.1895617923081768e-12
0_12_0_3_2,2.9270567425727894e-14
0_12_0_3_3,5.3319730865755196e-14
0_12_10_0_0,0.9929231615567646
0_12_10_0_1,0.79999999940222
0_12_10_0_2,0.8666666652064899
0_12_10_0_3,0.9775037366301321
0_12_10_1_0,0.8985711942555887
0_12_10_1_1,0.9392675949853456
0_12_10_1_2,0.8966134639626032
0_12_10_1_3,0.8862105946259764
0_12_10_2_0,0.9015478109944959
0_12_10_2_1,0.9157718958918006
0_12_10_2_2,0.926704282209109
0_12_10_2_3,0.9320838765931326
0_12_10_3_0,0.9096533822750004
0_12_10_3_1,0.9335413290156771
0_12_10_3_2,0.9100215343398292
0_12_10_3_3,0.9438302505116798
0_12_1_0_0,1.918714416140885e-35
0_12_1_0_1,5.666266111545046e-19
0_12_1_0_2,0.0005527750222981473
0_12_1_0_3,1.515596183040915e-23
0_12_1_1_0,5.593075299992737e-16
0_12_1_1_1,2.226985644839592e-16
0_12_1_1_2,3.080511389963296e-16
0_12_1_1_3,3.4549479885983323e-12
0_12_1_2_0,2.350074803878364e-15
0_12_1_2_1,2.036265942560444e-14
0_12_1_2_2,1.0366679840180145e-13
0_12_1_2_3,4.6606610627822656e-12
0_12_1_3_0,3.4639234355218856e-14
0_12_1_3_1,3.8097038674467e-11
0_12_1_3_2,9.902184524555237e-13
0_12_1_3_3,6.845007688834275e-13
0_12_2_0_0,1.918714416140885e-35
0_12_2_0_1,5.159946884105077e-19
0_12_2_0_2,4.078315809131184e-21
0_12_2_0_3,9.714911600711573e-18
0_12_2_1_0,3.4375701507451225e-13
