model_name,steady_S,steady_Q,steady_L,steady_B
0_10_6_0_1,0.0,0.0,1.0,0.0
0_10_6_0_2,0.0,0.0,0.0,1.0
0_10_6_0_3,0.017857728722705832,0.01411195616591929,0.0,0.9680303151113749
0_10_6_1_0,0.011355598897388686,0.004524504735837262,0.0035048490293092204,0.9806150473374649
0_10_6_1_1,0.0,0.0,0.0,1.0
0_10_6_1_2,0.0,0.0,0.0,1.0
0_10_6_1_3,0.0,0.0,0.0,1.0
0_10_6_2_0,0.0,0.0,0.0,1.0
0_10_6_2_1,0.0,0.0,0.0,1.0
0_10_6_2_2,0.0,0.0,0.0,1.0
0_10_6_2_3,0.0,0.0,0.0,1.0
0_10_6_3_0,0.0,0.0,0.0,1.0
0_10_6_3_1,0.0,0.0,0.0,1.0
0_10_6_3_2,0.0,0.0,0.0,1.0
0_10_6_3_3,0.0,0.0,0.0,1.0
0_10_7_0_0,0.0,0.0,1.0,0.0
0_10_7_0_1,0.1302589885611195,0.12893650356611286,0.0017211395137140828,0.7390833683590535
0_10_7_0_2,0.1062718112453267,0.27417598587826275,0.0021705232764622634,0.6173816795999483
0_10_7_0_3,0.0986080927623328,0.10744304582795461,0.0,0.7939488614097127
0_10_7_1_0,0.02102393764003255,0.029411639728449426,0.005261410112376235,0.9443030125191418
0_10_7_1_1,0.06934633335490487,0.0669490042270715,0.005134098494366529,0.858570563923657
0_10_7_1_2,0.0,0.0,0.0,1.0
0_10_7_1_3,0.0,0.0,0.0,1.0
0_10_7_2_0,0.011068454414203371,0.017282677407750593,0.004482168557583887,0.9671666996204622
0_10_7_2_1,0.0,0.0,0.0,1.0
0_10_7_2_2,0.0,0.0,0.0,1.0
0_10_7_2_3,0.0,0.0,0.0,1.0
0_10_7_3_0,0.004641675514573863,0.0058061854471948,0.0013914362566173819,0.988160702781614
0_10_7_3_1,0.05391593127318516,0.04905781208396712,0.011890544805299738,0.885135711837548
0_10_7_3_2,0.006769032828454815,0.013957328413980724,0.0008591689081646414,0.9784144698493998
0_10_7_3_3,0.02264393742251712,0.03591420779836009,0.002979932351349631,0.9384619224277732
0_10_8_0_0,6.358699681312112e-05,0.05540544595744933,0.7467244592612114,0.19780650778452608
0_10_8_0_1,0.005426299420808129,0.22583574285646793,0.5770926318778768,0.19164532584484711
0_10_8_0_2,0.00232172086272097,0.15135973390595894,0.7199990503951662,0.1263194948361539
0_10_8_0_3,0.018602190972889378,0.14241349353569072,0.7518871679031907,0.08709714758822926
0_10_8_1_0,0.0020375149291970438,0.05419637740178611,0.6284279975038307,0.31533811016518615
0_10_8_1_1,0.004322180856434023,0.060233742928191746,0.661883301927936,0.27356077428743836
0_10_8_1_2,0.007025346020168666,0.06900223201704767,0.8090723510064612,0.1149000709563224
0_10_8_1_3,0.010690377178940147,0.10486433167150937,0.6189068630108499,0.2655384281387007
0_10_8_2_0,0.031167037558168995,0.24111933648783426,0.4433652101769477,0.28434841577704895
0_10_8_2_1,0.014816343025214087,0.12283303607946836,0.667514672940384,0.19483594795493356
0_10_8_2_2,0.030887450626057265,0.1922185800359608,0.6269768017644984,0.14991716757348358
0_10_8_2_3,0.0017443121489180667,0.0386145443981148,0.5778891816730243,0.3817519617799428
0_10_8_3_0,0.004743799789424996,0.04857922133743256,0.635282709705485,0.3113942691676575
0_10_8_3_1,0.00964003528190043,0.10266163507989037,0.5173583597720363,0.3703399698661729
0_10_8_3_2,0.009612963035758731,0.08656898397467822,0.6353015831642695,0.2685164698252936
0_10_8_3_3,0.002983867947359883,0.06508369464575929,0.6774645695447555,0.2544678678621252
0_10_9_0_0,0.00010082872181921505,0.022350302144122404,0.7818982430403094,0.19565062609374897
0_10_9_0_1,0.0003059513905468646,0.18937799339976616,0.6109116399352056,0.19940441527448147
0_10_9_0_2,0.00043502154258273824,0.13349665500899022,0.7346920024997501,0.13137632094867696
0_10_9_0_3,0.009490268710820092,0.05530585924030712,0.9009357145388,0.034268157510072894
0_10_9_1_0,0.003930718055131443,0.06324493181119864,0.7148931139524239,0.21793123618124605
0_10_9_1_1,0.004878754483581566,0.08874416502160555,0.7637639687572358,0.14261311173757701
0_10_9_1_2,0.0071475653829491,0.0932772959027632,0.7495803539955039,0.1499947847187838
0_10_9_1_3,0.004857245501551957,0.11249045846807382,0.7076560782607376,0.1749962177696367
0_10_9_2_0,0.005215386040572614,0.1183086347240346,0.690707933096957,0.1857680461384358
0_10_9_2_1,0.008054352969382781,0.11964501750308279,0.7418882844086003,0.13041234511893401
0_10_9_2_2,0.009336755246657625,0.15501481456432667,0.6995883324048195,0.13606009778419612
0_10_9_2_3,0.007920833205422157,0.10342643293714802,0.7262634573674872,0.16238927648994259
0_10_9_3_0,0.001136856143154756,0.03955408794778628,0.7109483475509697,0.24836070835808938
0_10_9_3_1,0.0030889351765096954,0.11406417247654038,0.5506409035547802,0.3322059887921698
0_10_9_3_2,0.00744510389589937,0.10060891088006829,0.7007370512944262,0.19120893392960608
